词语      十进制  符号化反转二进制  二进制       反转二进制 
knee         988  ○○●●●○●●●●○       01111011100  00111011110
knife        989  ●○●●●○●●●●○       01111011101  10111011110
knock        990  ○●●●●○●●●●○       01111011110  01111011110
know         991  ●●●●●○●●●●○       01111011111  11111011110
lab          992  ○○○○○●●●●●○       01111100000  00000111110
label        993  ●○○○○●●●●●○       01111100001  10000111110
labor        994  ○●○○○●●●●●○       01111100010  01000111110
ladder       995  ●●○○○●●●●●○       01111100011  11000111110
lady         996  ○○●○○●●●●●○       01111100100  00100111110
lake         997  ●○●○○●●●●●○       01111100101  10100111110
lamp         998  ○●●○○●●●●●○       01111100110  01100111110
language     999  ●●●○○●●●●●○       01111100111  11100111110
laptop      1000  ○○○●○●●●●●○       01111101000  00010111110
large       1001  ●○○●○●●●●●○       01111101001  10010111110
later       1002  ○●○●○●●●●●○       01111101010  01010111110
latin       1003  ●●○●○●●●●●○       01111101011  11010111110
laugh       1004  ○○●●○●●●●●○       01111101100  00110111110
laundry     1005  ●○●●○●●●●●○       01111101101  10110111110
lava        1006  ○●●●○●●●●●○       01111101110  01110111110
law         1007  ●●●●○●●●●●○       01111101111  11110111110
lawn        1008  ○○○○●●●●●●○       01111110000  00001111110
lawsuit     1009  ●○○○●●●●●●○       01111110001  10001111110
layer       1010  ○●○○●●●●●●○       01111110010  01001111110
lazy        1011  ●●○○●●●●●●○       01111110011  11001111110
leader      1012  ○○●○●●●●●●○       01111110100  00101111110
leaf        1013  ●○●○●●●●●●○       01111110101  10101111110
learn       1014  ○●●○●●●●●●○       01111110110  01101111110
leave       1015  ●●●○●●●●●●○       01111110111  11101111110
lecture     1016  ○○○●●●●●●●○       01111111000  00011111110
left        1017  ●○○●●●●●●●○       01111111001  10011111110
leg         1018  ○●○●●●●●●●○       01111111010  01011111110
legal       1019  ●●○●●●●●●●○       01111111011  11011111110
legend      1020  ○○●●●●●●●●○       01111111100  00111111110
leisure     1021  ●○●●●●●●●●○       01111111101  10111111110
lemon       1022  ○●●●●●●●●●○       01111111110  01111111110
lend        1023  ●●●●●●●●●●○       01111111111  11111111110
length      1024  ○○○○○○○○○○●       10000000000  00000000001
lens        1025  ●○○○○○○○○○●       10000000001  10000000001
leopard     1026  ○●○○○○○○○○●       10000000010  01000000001
lesson      1027  ●●○○○○○○○○●       10000000011  11000000001
letter      1028  ○○●○○○○○○○●       10000000100  00100000001
level       1029  ●○●○○○○○○○●       10000000101  10100000001
liar        1030  ○●●○○○○○○○●       10000000110  01100000001
liberty     1031  ●●●○○○○○○○●       10000000111  11100000001
library     1032  ○○○●○○○○○○●       10000001000  00010000001
license     1033  ●○○●○○○○○○●       10000001001  10010000001
life        1034  ○●○●○○○○○○●       10000001010  01010000001
lift        1035  ●●○●○○○○○○●       10000001011  11010000001
light       1036  ○○●●○○○○○○●       10000001100  00110000001
like        1037  ●○●●○○○○○○●       10000001101  10110000001
limb        1038  ○●●●○○○○○○●       10000001110  01110000001
limit       1039  ●●●●○○○○○○●       10000001111  11110000001
link        1040  ○○○○●○○○○○●       10000010000  00001000001
lion        1041  ●○○○●○○○○○●       10000010001  10001000001
liquid      1042  ○●○○●○○○○○●       10000010010  01001000001
list        1043  ●●○○●○○○○○●       10000010011  11001000001
little      1044  ○○●○●○○○○○●       10000010100  00101000001
live        1045  ●○●○●○○○○○●       10000010101  10101000001
lizard      1046  ○●●○●○○○○○●       10000010110  01101000001
load        1047  ●●●○●○○○○○●       10000010111  11101000001
loan        1048  ○○○●●○○○○○●       10000011000  00011000001
lobster     1049  ●○○●●○○○○○●       10000011001  10011000001
local       1050  ○●○●●○○○○○●       10000011010  01011000001
lock        1051  ●●○●●○○○○○●       10000011011  11011000001
logic       1052  ○○●●●○○○○○●       10000011100  00111000001
lonely      1053  ●○●●●○○○○○●       10000011101  10111000001
long        1054  ○●●●●○○○○○●       10000011110  01111000001
loop        1055  ●●●●●○○○○○●       10000011111  11111000001
lottery     1056  ○○○○○●○○○○●       10000100000  00000100001
loud        1057  ●○○○○●○○○○●       10000100001  10000100001
lounge      1058  ○●○○○●○○○○●       10000100010  01000100001
love        1059  ●●○○○●○○○○●       10000100011  11000100001
loyal       1060  ○○●○○●○○○○●       10000100100  00100100001
lucky       1061  ●○●○○●○○○○●       10000100101  10100100001
luggage     1062  ○●●○○●○○○○●       10000100110  01100100001
lumber      1063  ●●●○○●○○○○●       10000100111  11100100001
lunar       1064  ○○○●○●○○○○●       10000101000  00010100001
lunch       1065  ●○○●○●○○○○●       10000101001  10010100001
luxury      1066  ○●○●○●○○○○●       10000101010  01010100001
lyrics      1067  ●●○●○●○○○○●       10000101011  11010100001
machine     1068  ○○●●○●○○○○●       10000101100  00110100001
mad         1069  ●○●●○●○○○○●       10000101101  10110100001
magic       1070  ○●●●○●○○○○●       10000101110  01110100001
magnet      1071  ●●●●○●○○○○●       10000101111  11110100001
maid        1072  ○○○○●●○○○○●       10000110000  00001100001
mail        1073  ●○○○●●○○○○●       10000110001  10001100001
main        1074  ○●○○●●○○○○●       10000110010  01001100001
major       1075  ●●○○●●○○○○●       10000110011  11001100001
make        1076  ○○●○●●○○○○●       10000110100  00101100001
mammal      1077  ●○●○●●○○○○●       10000110101  10101100001
man         1078  ○●●○●●○○○○●       10000110110  01101100001
manage      1079  ●●●○●●○○○○●       10000110111  11101100001
mandate     1080  ○○○●●●○○○○●       10000111000  00011100001
mango       1081  ●○○●●●○○○○●       10000111001  10011100001
mansion     1082  ○●○●●●○○○○●       10000111010  01011100001
manual      1083  ●●○●●●○○○○●       10000111011  11011100001
maple       1084  ○○●●●●○○○○●       10000111100  00111100001
marble      1085  ●○●●●●○○○○●       10000111101  10111100001
march       1086  ○●●●●●○○○○●       10000111110  01111100001
margin      1087  ●●●●●●○○○○●       10000111111  11111100001
marine      1088  ○○○○○○●○○○●       10001000000  00000010001
market      1089  ●○○○○○●○○○●       10001000001  10000010001
marriage    1090  ○●○○○○●○○○●       10001000010  01000010001
mask        1091  ●●○○○○●○○○●       10001000011  11000010001
mass        1092  ○○●○○○●○○○●       10001000100  00100010001
master      1093  ●○●○○○●○○○●       10001000101  10100010001
match       1094  ○●●○○○●○○○●       10001000110  01100010001
material    1095  ●●●○○○●○○○●       10001000111  11100010001
math        1096  ○○○●○○●○○○●       10001001000  00010010001
matrix      1097  ●○○●○○●○○○●       10001001001  10010010001
matter      1098  ○●○●○○●○○○●       10001001010  01010010001
maximum     1099  ●●○●○○●○○○●       10001001011  11010010001
maze        1100  ○○●●○○●○○○●       10001001100  00110010001
meadow      1101  ●○●●○○●○○○●       10001001101  10110010001
mean        1102  ○●●●○○●○○○●       10001001110  01110010001
measure     1103  ●●●●○○●○○○●       10001001111  11110010001
meat        1104  ○○○○●○●○○○●       10001010000  00001010001
mechanic    1105  ●○○○●○●○○○●       10001010001  10001010001
medal       1106  ○●○○●○●○○○●       10001010010  01001010001
media       1107  ●●○○●○●○○○●       10001010011  11001010001
melody      1108  ○○●○●○●○○○●       10001010100  00101010001
melt        1109  ●○●○●○●○○○●       10001010101  10101010001
member      1110  ○●●○●○●○○○●       10001010110  01101010001
memory      1111  ●●●○●○●○○○●       10001010111  11101010001
mention     1112  ○○○●●○●○○○●       10001011000  00011010001
menu        1113  ●○○●●○●○○○●       10001011001  10011010001
mercy       1114  ○●○●●○●○○○●       10001011010  01011010001
merge       1115  ●●○●●○●○○○●       10001011011  11011010001
merit       1116  ○○●●●○●○○○●       10001011100  00111010001
merry       1117  ●○●●●○●○○○●       10001011101  10111010001
mesh        1118  ○●●●●○●○○○●       10001011110  01111010001
message     1119  ●●●●●○●○○○●       10001011111  11111010001
metal       1120  ○○○○○●●○○○●       10001100000  00000110001
method      1121  ●○○○○●●○○○●       10001100001  10000110001
middle      1122  ○●○○○●●○○○●       10001100010  01000110001
midnight    1123  ●●○○○●●○○○●       10001100011  11000110001
milk        1124  ○○●○○●●○○○●       10001100100  00100110001
million     1125  ●○●○○●●○○○●       10001100101  10100110001
mimic       1126  ○●●○○●●○○○●       10001100110  01100110001
mind        1127  ●●●○○●●○○○●       10001100111  11100110001
minimum     1128  ○○○●○●●○○○●       10001101000  00010110001
minor       1129  ●○○●○●●○○○●       10001101001  10010110001
minute      1130  ○●○●○●●○○○●       10001101010  01010110001
miracle     1131  ●●○●○●●○○○●       10001101011  11010110001
mirror      1132  ○○●●○●●○○○●       10001101100  00110110001
misery      1133  ●○●●○●●○○○●       10001101101  10110110001
miss        1134  ○●●●○●●○○○●       10001101110  01110110001
mistake     1135  ●●●●○●●○○○●       10001101111  11110110001
mix         1136  ○○○○●●●○○○●       10001110000  00001110001
mixed       1137  ●○○○●●●○○○●       10001110001  10001110001
mixture     1138  ○●○○●●●○○○●       10001110010  01001110001
mobile      1139  ●●○○●●●○○○●       10001110011  11001110001
model       1140  ○○●○●●●○○○●       10001110100  00101110001
modify      1141  ●○●○●●●○○○●       10001110101  10101110001
mom         1142  ○●●○●●●○○○●       10001110110  01101110001
moment      1143  ●●●○●●●○○○●       10001110111  11101110001
monitor     1144  ○○○●●●●○○○●       10001111000  00011110001
monkey      1145  ●○○●●●●○○○●       10001111001  10011110001
monster     1146  ○●○●●●●○○○●       10001111010  01011110001
month       1147  ●●○●●●●○○○●       10001111011  11011110001
moon        1148  ○○●●●●●○○○●       10001111100  00111110001
moral       1149  ●○●●●●●○○○●       10001111101  10111110001
more        1150  ○●●●●●●○○○●       10001111110  01111110001
morning     1151  ●●●●●●●○○○●       10001111111  11111110001
mosquito    1152  ○○○○○○○●○○●       10010000000  00000001001
mother      1153  ●○○○○○○●○○●       10010000001  10000001001
motion      1154  ○●○○○○○●○○●       10010000010  01000001001
motor       1155  ●●○○○○○●○○●       10010000011  11000001001
mountain    1156  ○○●○○○○●○○●       10010000100  00100001001
mouse       1157  ●○●○○○○●○○●       10010000101  10100001001
move        1158  ○●●○○○○●○○●       10010000110  01100001001
movie       1159  ●●●○○○○●○○●       10010000111  11100001001
much        1160  ○○○●○○○●○○●       10010001000  00010001001
muffin      1161  ●○○●○○○●○○●       10010001001  10010001001
mule        1162  ○●○●○○○●○○●       10010001010  01010001001
multiply    1163  ●●○●○○○●○○●       10010001011  11010001001
muscle      1164  ○○●●○○○●○○●       10010001100  00110001001
museum      1165  ●○●●○○○●○○●       10010001101  10110001001
mushroom    1166  ○●●●○○○●○○●       10010001110  01110001001
music       1167  ●●●●○○○●○○●       10010001111  11110001001
must        1168  ○○○○●○○●○○●       10010010000  00001001001
mutual      1169  ●○○○●○○●○○●       10010010001  10001001001
myself      1170  ○●○○●○○●○○●       10010010010  01001001001
mystery     1171  ●●○○●○○●○○●       10010010011  11001001001
myth        1172  ○○●○●○○●○○●       10010010100  00101001001
naive       1173  ●○●○●○○●○○●       10010010101  10101001001
name        1174  ○●●○●○○●○○●       10010010110  01101001001
napkin      1175  ●●●○●○○●○○●       10010010111  11101001001
narrow      1176  ○○○●●○○●○○●       10010011000  00011001001
nasty       1177  ●○○●●○○●○○●       10010011001  10011001001
nation      1178  ○●○●●○○●○○●       10010011010  01011001001
nature      1179  ●●○●●○○●○○●       10010011011  11011001001
near        1180  ○○●●●○○●○○●       10010011100  00111001001
neck        1181  ●○●●●○○●○○●       10010011101  10111001001
need        1182  ○●●●●○○●○○●       10010011110  01111001001
negative    1183  ●●●●●○○●○○●       10010011111  11111001001
neglect     1184  ○○○○○●○●○○●       10010100000  00000101001
neither     1185  ●○○○○●○●○○●       10010100001  10000101001
nephew      1186  ○●○○○●○●○○●       10010100010  01000101001
nerve       1187  ●●○○○●○●○○●       10010100011  11000101001
nest        1188  ○○●○○●○●○○●       10010100100  00100101001
net         1189  ●○●○○●○●○○●       10010100101  10100101001
network     1190  ○●●○○●○●○○●       10010100110  01100101001
neutral     1191  ●●●○○●○●○○●       10010100111  11100101001
never       1192  ○○○●○●○●○○●       10010101000  00010101001
news        1193  ●○○●○●○●○○●       10010101001  10010101001
next        1194  ○●○●○●○●○○●       10010101010  01010101001
nice        1195  ●●○●○●○●○○●       10010101011  11010101001
night       1196  ○○●●○●○●○○●       10010101100  00110101001
noble       1197  ●○●●○●○●○○●       10010101101  10110101001
noise       1198  ○●●●○●○●○○●       10010101110  01110101001
nominee     1199  ●●●●○●○●○○●       10010101111  11110101001
noodle      1200  ○○○○●●○●○○●       10010110000  00001101001
normal      1201  ●○○○●●○●○○●       10010110001  10001101001
north       1202  ○●○○●●○●○○●       10010110010  01001101001
nose        1203  ●●○○●●○●○○●       10010110011  11001101001
notable     1204  ○○●○●●○●○○●       10010110100  00101101001
note        1205  ●○●○●●○●○○●       10010110101  10101101001
nothing     1206  ○●●○●●○●○○●       10010110110  01101101001
notice      1207  ●●●○●●○●○○●       10010110111  11101101001
novel       1208  ○○○●●●○●○○●       10010111000  00011101001
now         1209  ●○○●●●○●○○●       10010111001  10011101001
nuclear     1210  ○●○●●●○●○○●       10010111010  01011101001
number      1211  ●●○●●●○●○○●       10010111011  11011101001
nurse       1212  ○○●●●●○●○○●       10010111100  00111101001
nut         1213  ●○●●●●○●○○●       10010111101  10111101001
oak         1214  ○●●●●●○●○○●       10010111110  01111101001
obey        1215  ●●●●●●○●○○●       10010111111  11111101001
object      1216  ○○○○○○●●○○●       10011000000  00000011001
oblige      1217  ●○○○○○●●○○●       10011000001  10000011001
obscure     1218  ○●○○○○●●○○●       10011000010  01000011001
observe     1219  ●●○○○○●●○○●       10011000011  11000011001
obtain      1220  ○○●○○○●●○○●       10011000100  00100011001
obvious     1221  ●○●○○○●●○○●       10011000101  10100011001
occur       1222  ○●●○○○●●○○●       10011000110  01100011001
ocean       1223  ●●●○○○●●○○●       10011000111  11100011001
october     1224  ○○○●○○●●○○●       10011001000  00010011001
odor        1225  ●○○●○○●●○○●       10011001001  10010011001
off         1226  ○●○●○○●●○○●       10011001010  01010011001
offer       1227  ●●○●○○●●○○●       10011001011  11010011001
office      1228  ○○●●○○●●○○●       10011001100  00110011001
often       1229  ●○●●○○●●○○●       10011001101  10110011001
oil         1230  ○●●●○○●●○○●       10011001110  01110011001
okay        1231  ●●●●○○●●○○●       10011001111  11110011001
old         1232  ○○○○●○●●○○●       10011010000  00001011001
olive       1233  ●○○○●○●●○○●       10011010001  10001011001
olympic     1234  ○●○○●○●●○○●       10011010010  01001011001
omit        1235  ●●○○●○●●○○●       10011010011  11001011001
once        1236  ○○●○●○●●○○●       10011010100  00101011001
one         1237  ●○●○●○●●○○●       10011010101  10101011001
onion       1238  ○●●○●○●●○○●       10011010110  01101011001
online      1239  ●●●○●○●●○○●       10011010111  11101011001
only        1240  ○○○●●○●●○○●       10011011000  00011011001
open        1241  ●○○●●○●●○○●       10011011001  10011011001
opera       1242  ○●○●●○●●○○●       10011011010  01011011001
opinion     1243  ●●○●●○●●○○●       10011011011  11011011001
oppose      1244  ○○●●●○●●○○●       10011011100  00111011001
option      1245  ●○●●●○●●○○●       10011011101  10111011001
orange      1246  ○●●●●○●●○○●       10011011110  01111011001
orbit       1247  ●●●●●○●●○○●       10011011111  11111011001
orchard     1248  ○○○○○●●●○○●       10011100000  00000111001
order       1249  ●○○○○●●●○○●       10011100001  10000111001
ordinary    1250  ○●○○○●●●○○●       10011100010  01000111001
organ       1251  ●●○○○●●●○○●       10011100011  11000111001
orient      1252  ○○●○○●●●○○●       10011100100  00100111001
original    1253  ●○●○○●●●○○●       10011100101  10100111001
orphan      1254  ○●●○○●●●○○●       10011100110  01100111001
ostrich     1255  ●●●○○●●●○○●       10011100111  11100111001
other       1256  ○○○●○●●●○○●       10011101000  00010111001
outdoor     1257  ●○○●○●●●○○●       10011101001  10010111001
outer       1258  ○●○●○●●●○○●       10011101010  01010111001
output      1259  ●●○●○●●●○○●       10011101011  11010111001
outside     1260  ○○●●○●●●○○●       10011101100  00110111001
oval        1261  ●○●●○●●●○○●       10011101101  10110111001
oven        1262  ○●●●○●●●○○●       10011101110  01110111001
over        1263  ●●●●○●●●○○●       10011101111  11110111001
own         1264  ○○○○●●●●○○●       10011110000  00001111001
owner       1265  ●○○○●●●●○○●       10011110001  10001111001
oxygen      1266  ○●○○●●●●○○●       10011110010  01001111001
oyster      1267  ●●○○●●●●○○●       10011110011  11001111001
ozone       1268  ○○●○●●●●○○●       10011110100  00101111001
pact        1269  ●○●○●●●●○○●       10011110101  10101111001
paddle      1270  ○●●○●●●●○○●       10011110110  01101111001
page        1271  ●●●○●●●●○○●       10011110111  11101111001
pair        1272  ○○○●●●●●○○●       10011111000  00011111001
palace      1273  ●○○●●●●●○○●       10011111001  10011111001
palm        1274  ○●○●●●●●○○●       10011111010  01011111001
panda       1275  ●●○●●●●●○○●       10011111011  11011111001
panel       1276  ○○●●●●●●○○●       10011111100  00111111001
panic       1277  ●○●●●●●●○○●       10011111101  10111111001
panther     1278  ○●●●●●●●○○●       10011111110  01111111001
paper       1279  ●●●●●●●●○○●       10011111111  11111111001
parade      1280  ○○○○○○○○●○●       10100000000  00000000101
parent      1281  ●○○○○○○○●○●       10100000001  10000000101
park        1282  ○●○○○○○○●○●       10100000010  01000000101
parrot      1283  ●●○○○○○○●○●       10100000011  11000000101
party       1284  ○○●○○○○○●○●       10100000100  00100000101
pass        1285  ●○●○○○○○●○●       10100000101  10100000101
patch       1286  ○●●○○○○○●○●       10100000110  01100000101
path        1287  ●●●○○○○○●○●       10100000111  11100000101
patient     1288  ○○○●○○○○●○●       10100001000  00010000101
patrol      1289  ●○○●○○○○●○●       10100001001  10010000101
pattern     1290  ○●○●○○○○●○●       10100001010  01010000101
pause       1291  ●●○●○○○○●○●       10100001011  11010000101
pave        1292  ○○●●○○○○●○●       10100001100  00110000101
payment     1293  ●○●●○○○○●○●       10100001101  10110000101
peace       1294  ○●●●○○○○●○●       10100001110  01110000101
peanut      1295  ●●●●○○○○●○●       10100001111  11110000101
pear        1296  ○○○○●○○○●○●       10100010000  00001000101
peasant     1297  ●○○○●○○○●○●       10100010001  10001000101
pelican     1298  ○●○○●○○○●○●       10100010010  01001000101
pen         1299  ●●○○●○○○●○●       10100010011  11001000101
penalty     1300  ○○●○●○○○●○●       10100010100  00101000101
pencil      1301  ●○●○●○○○●○●       10100010101  10101000101
people      1302  ○●●○●○○○●○●       10100010110  01101000101
pepper      1303  ●●●○●○○○●○●       10100010111  11101000101
perfect     1304  ○○○●●○○○●○●       10100011000  00011000101
permit      1305  ●○○●●○○○●○●       10100011001  10011000101
person      1306  ○●○●●○○○●○●       10100011010  01011000101
pet         1307  ●●○●●○○○●○●       10100011011  11011000101
phone       1308  ○○●●●○○○●○●       10100011100  00111000101
photo       1309  ●○●●●○○○●○●       10100011101  10111000101
phrase      1310  ○●●●●○○○●○●       10100011110  01111000101
physical    1311  ●●●●●○○○●○●       10100011111  11111000101
piano       1312  ○○○○○●○○●○●       10100100000  00000100101
picnic      1313  ●○○○○●○○●○●       10100100001  10000100101
picture     1314  ○●○○○●○○●○●       10100100010  01000100101
piece       1315  ●●○○○●○○●○●       10100100011  11000100101
pig         1316  ○○●○○●○○●○●       10100100100  00100100101
pigeon      1317  ●○●○○●○○●○●       10100100101  10100100101
pill        1318  ○●●○○●○○●○●       10100100110  01100100101
pilot       1319  ●●●○○●○○●○●       10100100111  11100100101
pink        1320  ○○○●○●○○●○●       10100101000  00010100101
pioneer     1321  ●○○●○●○○●○●       10100101001  10010100101
pipe        1322  ○●○●○●○○●○●       10100101010  01010100101
pistol      1323  ●●○●○●○○●○●       10100101011  11010100101
pitch       1324  ○○●●○●○○●○●       10100101100  00110100101
pizza       1325  ●○●●○●○○●○●       10100101101  10110100101
place       1326  ○●●●○●○○●○●       10100101110  01110100101
planet      1327  ●●●●○●○○●○●       10100101111  11110100101
plastic     1328  ○○○○●●○○●○●       10100110000  00001100101
plate       1329  ●○○○●●○○●○●       10100110001  10001100101
play        1330  ○●○○●●○○●○●       10100110010  01001100101
please      1331  ●●○○●●○○●○●       10100110011  11001100101
pledge      1332  ○○●○●●○○●○●       10100110100  00101100101
pluck       1333  ●○●○●●○○●○●       10100110101  10101100101
plug        1334  ○●●○●●○○●○●       10100110110  01101100101
plunge      1335  ●●●○●●○○●○●       10100110111  11101100101
poem        1336  ○○○●●●○○●○●       10100111000  00011100101
poet        1337  ●○○●●●○○●○●       10100111001  10011100101
point       1338  ○●○●●●○○●○●       10100111010  01011100101
polar       1339  ●●○●●●○○●○●       10100111011  11011100101
pole        1340  ○○●●●●○○●○●       10100111100  00111100101
police      1341  ●○●●●●○○●○●       10100111101  10111100101
pond        1342  ○●●●●●○○●○●       10100111110  01111100101
pony        1343  ●●●●●●○○●○●       10100111111  11111100101
pool        1344  ○○○○○○●○●○●       10101000000  00000010101
popular     1345  ●○○○○○●○●○●       10101000001  10000010101
portion     1346  ○●○○○○●○●○●       10101000010  01000010101
position    1347  ●●○○○○●○●○●       10101000011  11000010101
possible    1348  ○○●○○○●○●○●       10101000100  00100010101
post        1349  ●○●○○○●○●○●       10101000101  10100010101
potato      1350  ○●●○○○●○●○●       10101000110  01100010101
pottery     1351  ●●●○○○●○●○●       10101000111  11100010101
poverty     1352  ○○○●○○●○●○●       10101001000  00010010101
powder      1353  ●○○●○○●○●○●       10101001001  10010010101
power       1354  ○●○●○○●○●○●       10101001010  01010010101
practice    1355  ●●○●○○●○●○●       10101001011  11010010101
praise      1356  ○○●●○○●○●○●       10101001100  00110010101
predict     1357  ●○●●○○●○●○●       10101001101  10110010101
prefer      1358  ○●●●○○●○●○●       10101001110  01110010101
prepare     1359  ●●●●○○●○●○●       10101001111  11110010101
present     1360  ○○○○●○●○●○●       10101010000  00001010101
pretty      1361  ●○○○●○●○●○●       10101010001  10001010101
prevent     1362  ○●○○●○●○●○●       10101010010  01001010101
price       1363  ●●○○●○●○●○●       10101010011  11001010101
pride       1364  ○○●○●○●○●○●       10101010100  00101010101
primary     1365  ●○●○●○●○●○●       10101010101  10101010101
print       1366  ○●●○●○●○●○●       10101010110  01101010101
priority    1367  ●●●○●○●○●○●       10101010111  11101010101
prison      1368  ○○○●●○●○●○●       10101011000  00011010101
private     1369  ●○○●●○●○●○●       10101011001  10011010101
prize       1370  ○●○●●○●○●○●       10101011010  01011010101
problem     1371  ●●○●●○●○●○●       10101011011  11011010101
process     1372  ○○●●●○●○●○●       10101011100  00111010101
produce     1373  ●○●●●○●○●○●       10101011101  10111010101
profit      1374  ○●●●●○●○●○●       10101011110  01111010101
program     1375  ●●●●●○●○●○●       10101011111  11111010101
project     1376  ○○○○○●●○●○●       10101100000  00000110101
promote     1377  ●○○○○●●○●○●       10101100001  10000110101
proof       1378  ○●○○○●●○●○●       10101100010  01000110101
property    1379  ●●○○○●●○●○●       10101100011  11000110101
prosper     1380  ○○●○○●●○●○●       10101100100  00100110101
protect     1381  ●○●○○●●○●○●       10101100101  10100110101
proud       1382  ○●●○○●●○●○●       10101100110  01100110101
provide     1383  ●●●○○●●○●○●       10101100111  11100110101
public      1384  ○○○●○●●○●○●       10101101000  00010110101
pudding     1385  ●○○●○●●○●○●       10101101001  10010110101
pull        1386  ○●○●○●●○●○●       10101101010  01010110101
pulp        1387  ●●○●○●●○●○●       10101101011  11010110101
pulse       1388  ○○●●○●●○●○●       10101101100  00110110101
pumpkin     1389  ●○●●○●●○●○●       10101101101  10110110101
punch       1390  ○●●●○●●○●○●       10101101110  01110110101
pupil       1391  ●●●●○●●○●○●       10101101111  11110110101
puppy       1392  ○○○○●●●○●○●       10101110000  00001110101
purchase    1393  ●○○○●●●○●○●       10101110001  10001110101
purity      1394  ○●○○●●●○●○●       10101110010  01001110101
purpose     1395  ●●○○●●●○●○●       10101110011  11001110101
purse       1396  ○○●○●●●○●○●       10101110100  00101110101
push        1397  ●○●○●●●○●○●       10101110101  10101110101
put         1398  ○●●○●●●○●○●       10101110110  01101110101
puzzle      1399  ●●●○●●●○●○●       10101110111  11101110101
pyramid     1400  ○○○●●●●○●○●       10101111000  00011110101
quality     1401  ●○○●●●●○●○●       10101111001  10011110101
quantum     1402  ○●○●●●●○●○●       10101111010  01011110101
quarter     1403  ●●○●●●●○●○●       10101111011  11011110101
question    1404  ○○●●●●●○●○●       10101111100  00111110101
quick       1405  ●○●●●●●○●○●       10101111101  10111110101
quit        1406  ○●●●●●●○●○●       10101111110  01111110101
quiz        1407  ●●●●●●●○●○●       10101111111  11111110101
quote       1408  ○○○○○○○●●○●       10110000000  00000001101
rabbit      1409  ●○○○○○○●●○●       10110000001  10000001101
raccoon     1410  ○●○○○○○●●○●       10110000010  01000001101
race        1411  ●●○○○○○●●○●       10110000011  11000001101
rack        1412  ○○●○○○○●●○●       10110000100  00100001101
radar       1413  ●○●○○○○●●○●       10110000101  10100001101
radio       1414  ○●●○○○○●●○●       10110000110  01100001101
rail        1415  ●●●○○○○●●○●       10110000111  11100001101
rain        1416  ○○○●○○○●●○●       10110001000  00010001101
raise       1417  ●○○●○○○●●○●       10110001001  10010001101
rally       1418  ○●○●○○○●●○●       10110001010  01010001101
ramp        1419  ●●○●○○○●●○●       10110001011  11010001101
ranch       1420  ○○●●○○○●●○●       10110001100  00110001101
random      1421  ●○●●○○○●●○●       10110001101  10110001101
range       1422  ○●●●○○○●●○●       10110001110  01110001101
rapid       1423  ●●●●○○○●●○●       10110001111  11110001101
rare        1424  ○○○○●○○●●○●       10110010000  00001001101
rate        1425  ●○○○●○○●●○●       10110010001  10001001101
rather      1426  ○●○○●○○●●○●       10110010010  01001001101
raven       1427  ●●○○●○○●●○●       10110010011  11001001101
raw         1428  ○○●○●○○●●○●       10110010100  00101001101
razor       1429  ●○●○●○○●●○●       10110010101  10101001101
ready       1430  ○●●○●○○●●○●       10110010110  01101001101
real        1431  ●●●○●○○●●○●       10110010111  11101001101
reason      1432  ○○○●●○○●●○●       10110011000  00011001101
rebel       1433  ●○○●●○○●●○●       10110011001  10011001101
rebuild     1434  ○●○●●○○●●○●       10110011010  01011001101
recall      1435  ●●○●●○○●●○●       10110011011  11011001101
receive     1436  ○○●●●○○●●○●       10110011100  00111001101
recipe      1437  ●○●●●○○●●○●       10110011101  10111001101
record      1438  ○●●●●○○●●○●       10110011110  01111001101
recycle     1439  ●●●●●○○●●○●       10110011111  11111001101
reduce      1440  ○○○○○●○●●○●       10110100000  00000101101
reflect     1441  ●○○○○●○●●○●       10110100001  10000101101
reform      1442  ○●○○○●○●●○●       10110100010  01000101101
refuse      1443  ●●○○○●○●●○●       10110100011  11000101101
region      1444  ○○●○○●○●●○●       10110100100  00100101101
regret      1445  ●○●○○●○●●○●       10110100101  10100101101
regular     1446  ○●●○○●○●●○●       10110100110  01100101101
reject      1447  ●●●○○●○●●○●       10110100111  11100101101
relax       1448  ○○○●○●○●●○●       10110101000  00010101101
release     1449  ●○○●○●○●●○●       10110101001  10010101101
relief      1450  ○●○●○●○●●○●       10110101010  01010101101
rely        1451  ●●○●○●○●●○●       10110101011  11010101101
remain      1452  ○○●●○●○●●○●       10110101100  00110101101
remember    1453  ●○●●○●○●●○●       10110101101  10110101101
remind      1454  ○●●●○●○●●○●       10110101110  01110101101
remove      1455  ●●●●○●○●●○●       10110101111  11110101101
render      1456  ○○○○●●○●●○●       10110110000  00001101101
renew       1457  ●○○○●●○●●○●       10110110001  10001101101
rent        1458  ○●○○●●○●●○●       10110110010  01001101101
reopen      1459  ●●○○●●○●●○●       10110110011  11001101101
repair      1460  ○○●○●●○●●○●       10110110100  00101101101
repeat      1461  ●○●○●●○●●○●       10110110101  10101101101
replace     1462  ○●●○●●○●●○●       10110110110  01101101101
report      1463  ●●●○●●○●●○●       10110110111  11101101101
require     1464  ○○○●●●○●●○●       10110111000  00011101101
rescue      1465  ●○○●●●○●●○●       10110111001  10011101101
resemble    1466  ○●○●●●○●●○●       10110111010  01011101101
resist      1467  ●●○●●●○●●○●       10110111011  11011101101
